jp	ko
(床に上げぶたがついている)	(바닥에 여닫이문이 달려 있다)
(攻性生物の内臓が保存してある)	(공성생물의 내장이 보존돼 있다)
(攻性生物の内臓の防腐液潰けだ)	(공성생물 내장을 방부액에 절였다)
(攻性生物の透明な羽でできた飾り窓だ)	(공성생물 날개로 만든 장식창이다)
(攻性生物をバラすための道具だ)	(공성생물을 해체하기 위한 도구다)
(敷布の染め方はシーカー独特のものだ)	(염색법은 시커 특유의 것이다)
(旅の荷物がまとめてあるけど…)	(여행 짐이 정리된데…)
(旅の荷物を入れる袋が置いてある)	(여행 짐을 넣는 자루가 놓였다)
(昼間は仕事がないらしい)	(낮에는 일이 없는 듯하다)
(木の実がたくさん干してある)	(나무 열매가 잔뜩 말려져 있다)
(本棚だ…立派な本ばかりだな)	(책장이다…훌륭한 책들뿐이군)
(棚の上にランプが置いてある…)	(선반 위에 램프가 놓였다…)
(植物の油を使ったランプだ)	(식물성 기름을 쓴 램프다)
(発光酒を飲んだ…すごい味だ)	(발광주를 마셨다…굉장한 맛이다)
(発掘品が入っているらしい)	(발굴품이 든 듯)
(確か、この下には醸造機があったな)	(이 아래에 양조기가 있었지)
(穀物が入っているらしい)	(곡물이 든 듯)
(若い女の人だ…)	(젊은 여자다…)
(荷車が止めてある)	(짐수레가 멈춰 있다)
(道具屋のヤレドだ…忙しそうだな)	(도구점의 야레드다…바빠 보이는군)
(香木が立ててある)	(향목이 세워져 있다)
(！！)	(！！)
(！！！！！！！！！)	(！！！！！！！！！)
(？ ？ ？ ？ ？)	(？？？？？)
2000Dn	2000Dn
20Dn払う	20Dn냄
<!86>ート	<!86>트
<!9C>な	<!9C>나
<03><01>銃を発射せよ<03>	<03><01>총을 발사<03>
<03>\n   ■<05>1<05>■   	<03>\n ■<05>1<05>■   
<03>\n  ■■<05>2<05>■■  	<03>\n ■■<05>2<05>■■  
<03>\n ■■■<05>3<05>■■■ 	<03>\n ■■■<05>3<05>■■■ 
<03>\n2番ゲート<03>	<03> 2번\n게이트<03>
<03>\n3番ゲート<03>	<03> 3번\n게이트<03>
<0D>ぜ	<0D>제
<16>え方	<16>넘기
<17>いぜ	<17>이야
<1B>ぜ	<1B>제
<1E>いる)	<1E>있다)
…お話なら、母に聞いてください…	…얘기는 어머니께 물으세요…
あ…ごめん	아…미안
あ、ああ…うまいよ	아,아아…맛있어
ありがとう…	고마워…
ありがとうございます	감사합니다
いくぞ！	간다！
え…？	어…？
ええ…	응…
おまえらがへたばると、俺も困るんでな	너희가 쓰러지면,나도 곤란해
お宝は死んでも手放さねえよ	보물은 죽어도 손 놓지 않아
こいつをとっときな、ハンターさんよ	이거 가져둬,헌터 양반
すいません、仕事があるので…	죄송해요.일이 있어서…
そうだ、こいつをとっときな	그래,이거 가져둬
そして…	그리고…
それだけだ	그뿐이다
それは、ウルの秘められた場所にある	그건,울의 숨겨진 장소에 있다
でも、こんな物どこに持ってたんだ？	근데,이런 걸 어디 갖고 있었대?
どういう意味だ？	무슨 뜻이지？
な)	나)
なぜだ？	왜지？
にあるわ	에 있어
のキーコードを	의 키코드를
のロックを解除します…	의 잠금을 해제합니다…
へえ…	허…
へへ…	헤헤…
ほう…私の蔵書に興味があるのかね？	호오…내 장서에 관심이 있는 건가？
まさに、宝の持ちぐされってやつだな	참으로,보물을 썩히는 격이군
まだ、こんな土地が残ってたんですね…	아직 이런 땅이 남아 있었군요…
よかったら、持って行きたまえ	괜찮다면,가져가게
ろ	ろ
を	を
アクレ	아크레
ウル 北奥部	울 북쪽 안
ウルの地下遣跡の封印を解く鍵	우르 지하유적 봉인의 열쇠
オアシスの話	오아시스 이야기
キャラバンを出る	카라반을 떠난다
キャンプに行く	캠프에 간다
ゲオルギウスで戦ったと\nいうドラゴンも、これと\n似た姿をしていたらしい。\nこれが<01><01>の\n本当の姿なのだろうか。	게오르기우스에서 싸운\n드래곤도 이것과\n닮은 모습이었다 한다.\n이것이 <01><01>의\n진짜 모습일까.
ゲートの鍵	게이트열쇠
ザムクレート	잠크레이트
シーカーの里	시커의 마을
シーカーの里に行く	시커의 마을에 간다
セストレン・エクスシス	세스트렌・엑스시스
セチュラ	세추라
ゾアの森	조아의 숲
タム・バシレウス	탐・바실레우스
タム・プロ	탐・프로
チ内部	치내부
トビタマイシを売る	토비타마이시를 판다
ドラゴン乗りの少年が書いたという日記	드래곤 라이더 소년이 썼다는 일기
ドームへのゲート	돔으로 가는 게이트
フローター	플로터
ベモス	베모스
ム	ム
メラコラ	메라콜라
メル=カヴァの資料なんだけど…	메르카바의 자료인데…
メル=カヴァ内部	메르카바 내부
ヤリ乱射	야리 난사
ワームの抜け穴の話	웜의 개구멍 이야기
ヴェロキタ	벨로키타
串刺し	꿰뚫기
今となっては、あんな街でもなつかしいよ	이제 와서는,그런 마을도 그립네
入力して下さい	입력해 주세요
君とドラゴンがいる以上、もはや無用だな	너와 드래곤이 있으면 필요 없군
回復	회복
地下遣跡の話	지하 유적 이야기
塔 上部格納層	탑 상부 격납층
塔 下部格納層	탑 하부 격납층
塔 中間層	탑 중간층
外が、こんなに物騒だったとはなあ…	바깥이,이렇게나 흉흉했을 줄이야…
外界との交渉に備えて集めた資料だが…	외부 교섭에 대비해 모은 자료지만…
寄生虫	기생충
帝国軍空中艦隊	제국군 공중함대
帝国軍空中艦隊駐屯地	제국군 공중함대 주둔지
引き続き第1種警戒態勢を維持！	계속해서 제1종 경계태세를 유지!
彼女にとって、唯一戻るべき生地…	그녀에게 유일하게 돌아갈 고향…
旦那がこのまま戻らなかったら、やばいぜ	나리가 이대로 안 돌아오면 큰일이야
最後に戦った相手だ。\nそのおぞましい姿の中には\n確かに、ドラゴンの収まる\n座がある。\n儀の<01><01>が\nいるべき本当の場所は、\nあそこなのだろうか。	마지막으로 싸운\n상대다.그 흉측한\n모습 속에는 분명\n드래곤이 담길 자리가\n있다.나의 <01><01>가 있어야\n할 진짜 자리는\n그곳일까.
本当か？ なんか苦しそうだぜ	진짜야？뭔가 힘들어 보이는데
根性あるじゃねえか、気に入ったぜ	근성 있잖아,마음에 들었어
横列反射	횡렬반사
消化液	소화액
火炎噴射艇アナラ	화염분사정 아나라
爆撃	폭격
爆発	폭발
発掘所	발굴장
矢骨	화살
砂漠<05>ワーム地帯	사막<05>웜 지대
砂漠<05>碧のオアシス	사막<05>푸른 오아시스
碧の玉	벽옥
神聖区に行く	신성구에 간다
神聖区のお偉い連中が隠してると思うんだ	신성구 높은 분들이 숨긴다고 생각해
禁止区域	금지구역
空中戦艦ヴァルナ	공중전함 발나
笑いかける	미소 짓는다
縦列反射	종렬반사
荷物、なくしたんじゃないのか？	짐,잃어버린 거 아니야？
落盤	낙반
街を出る	마을을 나감
話なら、注文してからにしな	이야기라면,주문하고 나서 해
謎の遣跡 1	의문의유적1
謎の遣跡 2	의문의유적2
買わない	사지 않는다
通路への入□	통로로 가는 입구
通路遣跡への入□	통로 유적 입구
里の外に出る	마을 밖으로
金がねえなら、来るんじゃねえよ！	돈이 없으면,오지 마！
金はいらねえよ	돈은 필요 없어
開放します…	개방합니다…
開放区に行く	개방구에 간다
隊長！	대장！
離散	이산
黒い遣跡	검은 유적
                  <03><01>記<03>	                  <03><01>기<03>
                 <03><01>記録<03>	                 <03><01>기록<03>
                <03><01>記録<03>	                <03><01>기록<03>
       <03><01>記録<03>	       <03><01>기록<03>
      <03><01>記録<03>	      <03><01>기록<03>
     <03><01>記録<03>	     <03><01>기록<03>
    <03><01>記録<03>	    <03><01>기록<03>
    防御力上昇\n      ↑\n攻撃力上昇← →心技力上昇\n      ↓\n    機動力上昇	방어력 상승 ↑\n공격력 상승← →심기력\n상승 ↓ 기동력 상승
   <03><01>記録<03>	   <03><01>기록<03>
  <03><01>記録<03>	  <03><01>기록<03>
 <03><01>記録<03>	 <03><01>기록<03>
(        ？)	( ？)
(   ！！！   )	( ！！！)
(  ？？？？？  )	( ？？？？？)
( ？ ？ ？ ？ )	( ？？？？)
( ？？？？？？？ )	( ？？？？？？？)
(<01><01>がいる…)	(<01><01>가 있다…)
(<03><01>★★★★★★★★★<03>	(<03><01>★★★★★★★★★<03>
(<03><01>♪♪♪♪♪♪♪♪♪<03>	(<03><01>♪♪♪♪♪♪♪♪♪<03>
(<03><03>♪♪♪♪♪♪♪♪♪<03>	(<03><03>♪♪♪♪♪♪♪♪♪<03>
(<03><04>♪♪♪♪♪♪♪♪♪<03>	(<03><04>♪♪♪♪♪♪♪♪♪<03>
(<03><05>★★★★★★★★★<03>	(<03><05>★★★★★★★★★<03>
(<03>\n★★★★★★★★★<03>	(<03>\n★★★★★★★★★<03>
(…ダメだ、ロックされてて動かせない)	(…안 되겠어,잠겨서 못 움직인다)
(「編み人」のザドクだ)	("직조인" 자독이다)
(あちこち改造してあるな…)	(여기저기 개조되어 있군…)
(あのつぼはとくに大きいけど…)	(저 항아리는 특히 큰데…)
(あのつぼはとくに大きいな)	(저 항아리는 특히 크군)
(あのつぼは薬品入りらしい)	(저 항아리는 약품이 든 듯하다)
(あの光の粒子のせいか！！)	(저 빛의 입자 때문인가!!)
(あの男はハンターらしい)	(저 남자는 헌터인 듯하다)
(あの男はボアズという名だったな…)	(저 남자는 보아즈라 했었지…)
(あれは、門番のシフレだ…)	(저건 문지기 시플레다…)
(あれも売り物なのかな…)	(저것도 파는 물건인가…)
(あんな所に扉がついている)	(저런 곳에 문이 달려 있다)
(いいたき木だ…森の近くだからかな)	(좋은 장작이다…숲이 가까워선가)
(きれいな水が入っている…飲み水だな)	(깨끗한 물이 들었다…마실 물이군)
(きれいな細工のランプだ…)	(정교하게 만든 램프다…)
(くっ、吹き飛ばされた…)	(윽,날아가 버렸다…)
(ここからは出られないな)	(여기서는 나갈 수 없겠군)
(ここで酒を作っているのか…)	(여기서 술을 만들고 있는 건가…)
(この壁の裏には水道管があるからな…)	(이 벽 뒤엔 수도관이 있으니까…)
(この家の住人でもなさそうだが…)	(이 집 주인은 아닌 것 같은데…)
(この店の主人の部屋らしい)	(이 가게 주인의 방인 듯하다)
(この本棚は、古びた本が多いな…)	(이 책장에는 낡은 책이 많군…)
(これじゃ、2階には行けないな)	(이래서는 2층에 갈 수 없겠군)
(これはあまり手を加えてないな…)	(이건 별로 손을 대지 않았군…)
(これも、シーカーの研究材料なのか…)	(이것도 시커의 연구 재료인가…)
(こんなもの、一体どうするんだ？)	(이런 걸 대체 어디에 쓰지?)
(さすがに量が多いな…)	(역시 양이 많군…)
(しかし、よく飽きないな…)	(그나저나 잘도 안 질리는군…)
(しかも、全部手書きの写本らしい)	(게다가 전부 손으로 쓴 사본)
(しまった、引き離された！)	(아차,떨어졌다!)
(すっかり元気になったな…)	(완전히 기운을 되찾았군…)
(ずいぶんため込んであるな…)	(꽤 많이 쌓아뒀군…)
(ずいぶん昔に作られたものらしい)	(꽤 오래전에 만들어진 듯하다)
(たき木が立てかけてある)	(장작이 세워져 있다)
(つぼには穀物や水が入っているようだ)	(항아리에는 곡물과 물이 든 듯)
(つらかったんだろうな、アゼルも…)	(힘들었겠지,아젤도…)
(でも、壊れやすそうだな)	(그래도 잘 부서질 듯하군)
(どうやって使うのかな？)	(어떻게 쓰는 걸까?)
(どうやら今は入れないらしい)	(지금은 못 들어가는 듯하다)
(なんとなく元気がないようだ)	(왠지 기운이 없어 보인다)
(ほとんどが保存食のようだ)	(대부분 보존식인 듯하다)
